Array Size,C++ Median (ns),C++ ExecTime (ms),Java Median (ns),Java ExecTime (ms)
1000,1411,1,1968,8
2000,2780,3,9126,10
3000,4136,4,13483,13
4000,5496,5,17786,14
5000,6852,6,10526,16
6000,8313,8,12190,19
7000,9569,9,13981,20
8000,11135,11,15379,21
9000,18577,17,17510,24
10000,13780,14,19303,25
11000,15254,15,21158,27
12000,16429,16,22298,28
13000,17798,17,23982,29
14000,19252,19,25642,30
15000,20521,20,8880,25
16000,21965,22,28801,30
17000,22914,23,8722,26
18000,24074,24,32511,32
19000,26041,26,33414,32
20000,26736,26,9930,28
21000,28684,28,32574,39
22000,29483,30,18415,39
23000,31505,31,14311,40
24000,32867,33,11985,30
25000,33286,33,12209,32
26000,34958,35,15176,43
27000,37039,37,13674,45
28000,38327,38,17273,38
29000,39673,39,15617,39
30000,40317,46,23591,42
31000,41335,41,17313,50
32000,42662,43,15887,43
33000,44071,44,16308,44
34000,45418,46,25562,49
35000,47892,47,17264,46
36000,47976,48,17798,47
37000,50531,50,18119,46
38000,50729,51,18538,48
39000,51876,53,19157,50
40000,53567,54,19681,51
41000,54958,55,20009,52
42000,56289,56,20503,55
43000,57476,58,21020,59
44000,58682,59,21429,58
45000,60047,60,24124,60
46000,61436,61,22351,60
47000,62935,63,23011,61
48000,64099,64,23374,62
49000,65522,65,23943,64
50000,66805,67,36755,74
